id,name,category,lat,lng,shortDescription,fullDescription,image,difficulty
1,Водопады Руфабго,water,44.2633,40.1719,Ущелье притока реки Белой.,Находится на горном плато Лаго-наки западного Кавказа. За свой путь ручей образует множество порогов и водопадов.,https://upload.wikimedia.org/wikipedia/commons/6/66/Falls_Creek_Rufabgo_SA07_-_Girlish_Braid_%28%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4_%22%D0%94%D0%B5%D0%B2%D0%B8%D1%87%D1%8C%D1%8F_%D0%BA%D0%BE%D1%81%D0%B0%22%29.jpg,Средняя
2,Хаджохская теснина,water,44.28694,40.17556,Живописное ущелье реки Белой.,"Уникальный памятник природы. Ущелье достаточное узкое, река пенится, спадает порогами, а скалы принимают причудливую форму.",https://upload.wikimedia.org/wikipedia/commons/d/d5/Hadzhoh_gorge_1.jpg,Легкая
3,Гранитный каньон,water,44.1629,40.1322,Каньон из красного гранита.,"Простирается вдоль автотрассы Майкоп – Гузерипль. Внимание цепляют отвесные скалы, в состав которых входит красный гранит.",https://upload.wikimedia.org/wikipedia/commons/5/5e/%D0%90%D0%BA%D1%82%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BA%D0%B0%D0%BD%D1%8C%D0%B9%D0%BE%D0%BD_%D0%B2%D0%BE%D1%81%D0%B5%D0%BD%D0%B8_%283%29.jpg,Легкая
4,Гуамское ущелье,water,44.2158,39.9139,Ущелье на реке Курджипс.,"Ущелье влечет скалолазов и туристов со всей России. Инфраструктура развита хорошо, поблизости множество термальных источников.",https://upload.wikimedia.org/wikipedia/commons/b/b9/Guam_canyon%2C_%D0%93%D1%83%D0%B0%D0%BC%D1%81%D0%BA%D0%BE%D0%B5_%D1%83%D1%89%D0%B5%D0%BB%D1%8C%D0%B5%2C_%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D1%8B%D0%B9_%D0%9A%D0%B0%D0%B2%D0%BA%D0%B0%D0%B7.jpg,Средняя
5,Озеро Сукко,water,44.791405,37.400285,Кипарисовая роща на озере.,"Озеро занесено в Красную книгу. Оно находится у подножья горы Широкой и знаменито своими кипарисами, растущими прямо в воде.",https://upload.wikimedia.org/wikipedia/commons/5/5b/Anapsky_District%2C_Krasnodar_Krai%2C_Russia_-_panoramio_%2820%29.jpg,Легкая
6,Озеро Абрау,water,44.6986,37.5919,Горное озеро в Абрау-Дюрсо.,Крупнейшее пресноводное озеро Краснодарского края. Туристов сюда влечет спокойный отдых и расположенный неподалеку завод вин.,https://upload.wikimedia.org/wikipedia/commons/9/9d/%D0%9E%D0%B7%D0%B5%D1%80%D0%BE_%D0%90%D0%B1%D1%80%D0%B0%D1%83.jpg,Легкая
7,Пшадские водопады,water,44.6004,38.4753,Каскад из 8 водопадов.,Водопады расположены на Красной Речке. Самый востребованный маршрут среди туристов ведет сразу через восемь водопадов.,https://upload.wikimedia.org/wikipedia/commons/d/db/%D0%9F%D1%88%D0%B0%D0%B4%D1%81%D0%BA%D0%B8%D0%B5.jpg,Средняя
8,Агурские водопады,water,43.5438,39.8073,Водопады в Сочинском нацпарке.,Особо охраняемая территория. Дорога к водопадам прорублена в горной породе и берёт начало у Агурского ущелья.,https://upload.wikimedia.org/wikipedia/commons/e/ef/Upper_Agura_waterfall.JPG,Сложная
9,Бугазская коса,water,45.085556,36.948889,Песчаная полоса между морем и лиманом.,12-километровая песчаная полоса в курортной зоне Анапы. Это главное место краснодарских кайтсерферов и любителей дикого отдыха.,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=900&q=80,Легкая
10,Озеро Ханское,water,46.2461,38.3734,Соленое озеро лагунного типа.,"Ранее оно было заливом Азовского моря. Вода в озере высокоминерализованная, горько-солёная. Озеро имеет природоохранный статус.",https://upload.wikimedia.org/wikipedia/commons/6/6d/%D0%A5%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%BE%D0%B7%D0%B5%D1%80%D0%BE._%D0%95%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD.jpg,Легкая
